GarageArea,FullBath,Fireplaces,MasVnrArea,BsmtFinSF1,LotFrontage
294,1,0,0.0,922,70.0
380,2,1,0.0,0,59.0
0,1,0,0.0,0,67.0
240,1,2,252.0,569,60.0
308,2,1,0.0,218,50.0
552,1,0,0.0,894,70.0
400,2,1,0.0,0,122.0
240,1,0,0.0,735,40.0
576,2,1,210.0,588,78.0
474,2,0,140.0,0,76.0
240,1,0,0.0,187,70.0
484,1,1,1047.0,516,85.0
478,2,1,206.0,704,82.0
486,2,3,176.0,454,85.0
528,1,0,168.0,0,80.0
390,2,1,0.0,0,69.0
450,2,2,184.0,35,69.0
720,1,0,0.0,180,49.0
440,1,0,140.0,535,75.0
616,2,1,132.0,1398,47.0
200,1,0,0.0,0,55.0
968,2,0,368.0,500,91.0
225,1,1,0.0,0,52.0
393,2,1,0.0,0,65.0
555,2,0,0.0,833,67.0
528,2,0,0.0,0,35.0
567,2,2,0.0,1406,100.0
400,2,0,340.0,0,69.0
644,2,0,268.0,0,79.0
271,1,0,0.0,0,69.0
288,1,1,0.0,375,60.0
0,1,0,0.0,468,67.0
612,2,1,157.0,625,79.0
490,2,1,0.0,1116,69.0
576,1,0,0.0,685,69.0
572,2,1,0.0,0,60.0
505,1,1,90.0,1024,128.0
280,1,0,0.0,0,71.0
528,0,2,275.0,1086,64.0
354,1,1,0.0,1064,69.0
264,1,1,0.0,641,60.0
784,2,0,200.0,1309,78.0
540,2,0,0.0,0,34.0
461,1,0,66.0,0,80.0
552,2,1,0.0,0,53.0
0,2,0,0.0,0,33.0
0,1,0,0.0,0,60.0
480,2,0,0.0,0,95.0
431,2,1,0.0,219,69.0
720,1,0,0.0,398,60.0
0,2,0,0.0,0,69.0
462,1,1,237.0,0,80.0
660,2,1,0.0,0,58.0
812,2,1,160.0,765,85.0
874,2,1,562.0,1567,72.0
480,1,0,0.0,0,60.0
619,2,1,220.0,619,69.0
364,0,0,0.0,648,69.0
880,3,1,0.0,0,75.0
694,2,1,772.0,0,105.0
482,2,1,174.0,1373,44.0
403,2,1,85.0,1258,69.0
776,2,0,72.0,0,64.0
301,1,0,0.0,498,69.0
300,1,0,0.0,784,69.0
0,1,0,0.0,0,54.0
663,2,0,0.0,533,69.0
839,2,1,660.0,1696,91.0
551,2,1,298.0,156,69.0
288,1,1,0.0,0,75.0
647,2,1,149.0,0,69.0
467,2,1,0.0,595,69.0
336,1,0,0.0,25,71.0
437,2,1,14.0,16,43.0
484,1,1,99.0,663,78.0
280,1,0,0.0,204,60.0
286,1,1,0.0,0,69.0
301,1,0,243.0,608,75.0
240,1,0,0.0,352,70.0
460,2,1,0.0,0,69.0
572,1,1,0.0,384,60.0
403,2,1,0.0,0,74.0
457,2,1,0.0,251,69.0
410,1,1,0.0,507,65.0
360,2,1,0.0,503,80.0
546,2,1,480.0,705,105.0
264,1,0,232.0,387,21.0
480,2,2,28.0,1200,69.0
484,1,0,0.0,336,71.0
1356,1,1,149.0,1159,69.0
413,2,1,0.0,714,70.0
484,1,1,86.0,1014,69.0
282,1,0,0.0,420,75.0
471,2,1,125.0,380,80.0
756,1,0,0.0,860,64.0
360,2,0,0.0,0,90.0
610,3,1,0.0,0,102.0
440,1,1,0.0,600,77.0
208,1,1,0.0,0,50.0
336,1,1,75.0,0,100.0
440,2,1,0.0,120,69.0
774,2,1,452.0,48,90.0
281,1,1,0.0,292,60.0
858,2,1,268.0,1330,67.0
560,1,1,0.0,425,52.0
164,1,1,0.0,299,50.0
521,2,0,0.0,334,105.0
660,1,0,0.0,360,69.0
400,2,0,0.0,0,51.0
711,2,1,528.0,1361,52.0
0,1,0,0.0,0,55.0
504,1,0,260.0,787,75.0
264,1,1,0.0,607,80.0
0,1,1,0.0,432,70.0
442,2,1,0.0,0,60.0
576,2,0,0.0,0,100.0
624,2,1,0.0,956,90.0
626,2,1,166.0,904,34.0
564,2,1,0.0,674,107.0
606,2,0,109.0,712,70.0
0,1,0,0.0,280,50.0
856,2,1,262.0,1088,76.0
308,1,1,0.0,374,70.0
1134,1,1,0.0,1721,49.0
288,1,0,0.0,360,120.0
836,2,1,154.0,936,96.0
757,2,1,0.0,1456,89.0
384,1,0,0.0,906,70.0
434,2,1,180.0,0,69.0
481,1,1,0.0,437,30.0
626,2,1,166.0,904,34.0
539,1,1,365.0,384,90.0
833,2,1,0.0,48,103.0
0,2,0,0.0,210,55.0
484,2,1,128.0,733,44.0
400,2,1,0.0,0,76.0
400,2,0,0.0,410,62.0
615,2,1,0.0,0,75.0
360,1,1,0.0,553,60.0
750,1,0,85.0,567,69.0
611,2,2,0.0,1390,69.0
308,1,0,0.0,846,70.0
220,1,0,0.0,256,49.0
562,2,0,0.0,0,65.0
528,1,0,0.0,0,67.0
820,3,2,860.0,0,104.0
530,2,1,288.0,0,80.0
525,1,0,80.0,547,35.0
614,2,0,0.0,24,72.0
788,2,1,302.0,0,84.0
550,2,1,0.0,385,43.0
520,1,0,259.0,624,82.0
462,2,1,0.0,0,70.0
300,1,0,0.0,0,85.0
409,2,1,0.0,592,69.0
678,2,1,0.0,222,100.0
260,1,0,151.0,902,69.0
460,1,0,0.0,602,65.0
288,1,0,0.0,308,50.0
